Ttimestamp,Average S,Average E,Average I,Average R,STD S,STD E,STD I,STD R
123,0.1407,0.00723,0.01939,0.83268,0.0157661381165811,0.00316053792889755,0.00846515078293221,0.020498878018077
124,0.14106,0.00712,0.01858,0.83324,0.0149120532903197,0.00321966181798993,0.00780851387197903,0.0192764219824231
125,0.14116,0.00744,0.0176,0.8338,0.0147947588317245,0.00340952913008364,0.00775743371082072,0.0184815223038219
126,0.1418,0.00673,0.01747,0.834,0.0146333712983562,0.00311949069917226,0.00781495006026555,0.0177343358112636
127,0.14219,0.00693,0.01694,0.83394,0.0146894860359374,0.00322250765019349,0.00748601659391992,0.0167945229167131
128,0.14305,0.00661,0.01636,0.83398,0.0141497742424079,0.00304099764331817,0.00705458086005902,0.0162926568326552
129,0.1436,0.00645,0.01593,0.83402,0.013893643630572,0.00305950250131546,0.00711384409287818,0.0155539776977538
130,0.14424,0.00616,0.01537,0.83423,0.013753238002578,0.00314331742661228,0.00682740393154268,0.0154297728074294
131,0.14497,0.00586,0.01511,0.83406,0.0138483893969259,0.00335996031722598,0.00663935237805616,0.0149587729740406
132,0.14554,0.00581,0.01466,0.83399,0.01394817391473,0.00314976189576292,0.00637881911746472,0.01477553909526
133,0.14653,0.0057,0.01394,0.83383,0.0142169734238105,0.0027503535126315,0.00636085249352981,0.0142968566863878
134,0.14758,0.00538,0.01314,0.8339,0.0139717810842665,0.00249746538180879,0.00616985503161226,0.0140752738280054
135,0.14855,0.00524,0.01278,0.83343,0.0139078914449475,0.00240379329856421,0.0057464578461673,0.0136857630810675
136,0.14953,0.00501,0.01241,0.83305,0.0140411340156144,0.0022990094485331,0.00550927500775838,0.0134943815469007
137,0.1503,0.00494,0.01221,0.83255,0.0141011425856993,0.00225496981995079,0.00542882225819847,0.0136985197902709
138,0.15153,0.0049,0.01154,0.83203,0.0139925416641231,0.00215921796542689,0.00532086041496632,0.0137098545255269
139,0.1526,0.00507,0.01123,0.8311,0.0141308960162554,0.00267459238846678,0.00500334332666113,0.0133719440953397
140,0.15391,0.00478,0.01108,0.83023,0.0138863202069119,0.00245347825658911,0.00519439869260897,0.0129022005013787
141,0.15506,0.0045,0.01088,0.82956,0.0140905957606089,0.002185812841434,0.00532223845972935,0.0127947211336898
142,0.15624,0.00428,0.01057,0.82891,0.0140728422462873,0.00189431899226198,0.00518095872723701,0.0126719681887929
143,0.15746,0.00401,0.01044,0.82809,0.0144881714205455,0.00164211922696117,0.00525826333815009,0.0127336343768951
144,0.15836,0.00415,0.01021,0.82728,0.0149696136668029,0.00183862871606955,0.00493298422188165,0.0129668637517156
145,0.15953,0.00401,0.01002,0.82644,0.0151680988334802,0.00166229426463013,0.00511420679197773,0.0132061601787449
146,0.16053,0.00399,0.00978,0.8257,0.0155036232324361,0.00181992063319012,0.00495598403728036,0.013138831336496
147,0.1616,0.00387,0.00953,0.825,0.0158398232313369,0.00182820494839428,0.00492680874851505,0.0131493134590535
148,0.163,0.00363,0.00935,0.82402,0.0157960613937638,0.00175502453290862,0.00475470527185673,0.0128943398435127
149,0.1644,0.00347,0.009,0.82313,0.0161391862661453,0.00158117396611224,0.00431071017608726,0.0132797297495929
150,0.16581,0.00331,0.0087,0.82218,0.0161916610910953,0.00133037171079698,0.00418037744175757,0.0133920208416139
151,0.16715,0.00317,0.00843,0.82125,0.0164748461466429,0.00138968421672775,0.00416441272370227,0.0133747066426811
152,0.16837,0.00334,0.00829,0.82,0.0170201873602431,0.00138900443963773,0.00417038500753961,0.01350037036529
153,0.16987,0.00333,0.0079,0.8189,0.0175400525781551,0.00145070863909868,0.00377624151769984,0.0139077116897225
154,0.17131,0.00318,0.00764,0.81787,0.0178616566358717,0.00142735186038108,0.0036228288517247,0.0142511636951747
155,0.17272,0.00329,0.00743,0.81656,0.018021887926753,0.00125206496104103,0.00344610891683166,0.0146094489971388
156,0.17379,0.00334,0.0072,0.81567,0.0183791216088014,0.00126771886122717,0.0030554141381416,0.015049034668192
157,0.17531,0.00317,0.00701,0.81451,0.0186138807226101,0.00126933928570033,0.00297711642738779,0.0156198200302621
158,0.17671,0.00322,0.00698,0.81309,0.0187897992420237,0.00144898431860236,0.0026873365583376,0.0159934326799749
159,0.17808,0.003,0.00697,0.81195,0.0188691282257554,0.00121289369324402,0.00277970821810092,0.016216401162609
160,0.1793,0.00307,0.00678,0.81085,0.0187271638714106,0.00103069555802542,0.00252709758858304,0.0163428033770899
161,0.1807,0.00294,0.00657,0.80979,0.018521938943378,0.000756012933457858,0.00237255136930689,0.0165903887838712
162,0.18214,0.00294,0.00654,0.80838,0.018409309239259,0.000804432166879912,0.002315263363949,0.0165452779433354
163,0.18334,0.00296,0.00632,0.80738,0.0187470412480358,0.000846167832052247,0.00243438333510198,0.0168555167362037
164,0.18471,0.00291,0.00638,0.806,0.018745989200656,0.000683861584435525,0.00233609360543051,0.0168688404396324
165,0.18568,0.00295,0.0063,0.80507,0.0191293143281892,0.000832999933306653,0.00221810730128188,0.0170545562501312
166,0.18712,0.00295,0.00615,0.80378,0.0192853888273538,0.00103413947049924,0.00223569526844186,0.0170569503591807
167,0.18862,0.00277,0.00619,0.80242,0.0195659454722286,0.000757261146794449,0.00236429458589426,0.0173051565853778
168,0.18989,0.00279,0.00617,0.80115,0.0195942990575207,0.000937431478977412,0.00237442390673799,0.0173092942278611
169,0.19122,0.00276,0.00613,0.79989,0.0199763081896753,0.00106583300755794,0.00231327089252907,0.0176054568560748
170,0.19259,0.00285,0.00608,0.79848,0.019958537577243,0.00123670709727261,0.00232225943617178,0.017672816539659
171,0.19409,0.00272,0.00604,0.79715,0.0201383244365342,0.000981835016690686,0.00237542978567388,0.0178313238743261
172,0.19511,0.00285,0.00604,0.796,0.0198686492299356,0.000815475321515005,0.00249586324411682,0.0176903614685763
173,0.19666,0.00277,0.00608,0.79449,0.0200903072262334,0.000880719402912566,0.00238178271235831,0.0180998741554864
174,0.198,0.00271,0.00608,0.79321,0.0200883050554296,0.00108469145638544,0.00211439510656515,0.0181611581862685
175,0.19949,0.00284,0.00598,0.79169,0.0201699694265179,0.00120018517089841,0.00209167662680231,0.0182210775385724
176,0.20094,0.00276,0.00604,0.79026,0.0204762301217778,0.00112071405808975,0.00223914666285569,0.0183986231368908
177,0.20245,0.00274,0.00584,0.78897,0.0205818285549819,0.00109260138100671,0.00216240606732408,0.0186021533998382
178,0.20376,0.00282,0.00572,0.7877,0.0207686301907468,0.00127436258576592,0.00207835404961608,0.0186793409353161
179,0.20499,0.00299,0.00576,0.78626,0.0207348579289402,0.00107543272944223,0.00209242018299916,0.0187651686791128
180,0.20653,0.00297,0.00587,0.78463,0.0208653380833701,0.00107811564005599,0.00243312784520483,0.0186856480873542
181,0.20793,0.00308,0.00599,0.783,0.020913847087516,0.00100088849417794,0.00242049122654427,0.0189317487599828
182,0.20918,0.00291,0.006,0.78191,0.0211220158970576,0.00103757195198962,0.00234757558155453,0.0193785362364309
183,0.21037,0.00291,0.00582,0.7809,0.0209770800849138,0.00102896927931682,0.00206171449688522,0.0195464120037981
184,0.21181,0.0029,0.00582,0.77947,0.0210943093958747,0.000945163125250522,0.00228706507705108,0.0193990291853312
185,0.21295,0.0031,0.00546,0.77849,0.0213027515176379,0.0010295630140987,0.00197439160812191,0.0198208896537634
186,0.2142,0.00309,0.00552,0.77719,0.0213099350851506,0.00108878117381063,0.00189783502385686,0.0199500737954636
187,0.21541,0.00303,0.00572,0.77584,0.0214347822216343,0.000982117892900621,0.00199543924432135,0.0201334547457708
188,0.21655,0.00297,0.00579,0.77469,0.0212824523440739,0.00114702513776581,0.00197734389747684,0.0199839074146063
189,0.21794,0.00295,0.0059,0.77321,0.0212793170316468,0.000962923788376953,0.00212968437932844,0.0200105222320658
190,0.21951,0.00291,0.00592,0.77166,0.0212347435429141,0.000990454441153151,0.00214258410958979,0.0200807923703778
191,0.22105,0.00286,0.00588,0.77021,0.0214851499102675,0.0010254538290706,0.00231842858658858,0.02029747931805
192,0.22247,0.00291,0.00589,0.76873,0.0213566565215105,0.000946866176159839,0.00243559255851859,0.0200750840595999
193,0.22399,0.00294,0.00562,0.76745,0.0210768145389931,0.00092038639228919,0.00218926674685587,0.0200280497746979
194,0.22518,0.00294,0.00561,0.76627,0.0211254875025932,0.000824890565132397,0.0022486786243382,0.0200797880688241
195,0.22616,0.00298,0.00572,0.76514,0.0210670464100795,0.000964710664741852,0.00227537542689846,0.0201892820850844
196,0.22771,0.00284,0.00564,0.76381,0.0212551405546988,0.000636308799946134,0.00225644755213933,0.0204689168144178
197,0.22876,0.00284,0.00564,0.76276,0.0213848440619883,0.000782020175926143,0.0021823534696897,0.0202838304513171
198,0.23041,0.00287,0.00555,0.76117,0.0215419203724583,0.000761650255111302,0.00196596032513375,0.0204872345078046
199,0.23172,0.0029,0.00543,0.75995,0.0218857030958569,0.000876863095864394,0.00184694943683421,0.020761302142849
200,0.23304,0.00273,0.00544,0.75879,0.0221406212900883,0.000751369120709359,0.00180567008183789,0.021189591260281
201,0.23454,0.00267,0.00541,0.75738,0.0224821015229646,0.000603784361801095,0.00182905561545964,0.0215759536933545
202,0.23584,0.0027,0.0054,0.75606,0.0224799762751951,0.000594418483337567,0.00184451137763426,0.0216618045826699
